pc,pv,pm,pop_size,n_ger,run,best_fitness
0.7,0.7,0.01,100,200,6,436
0.7,0.7,0.01,100,200,7,470
0.7,0.7,0.01,100,200,8,497
0.7,0.7,0.01,100,200,9,497
0.7,0.7,0.01,200,100,0,469
0.7,0.7,0.01,200,100,1,445
0.7,0.7,0.01,200,100,2,467
0.7,0.7,0.01,200,100,3,463
0.7,0.7,0.01,200,100,4,460
0.7,0.7,0.01,200,100,5,485
0.7,0.7,0.01,200,100,6,467
0.7,0.7,0.01,200,100,7,479
0.7,0.7,0.01,200,100,8,454
0.7,0.7,0.01,200,100,9,487
0.7,0.7,0.01,200,200,0,477
0.7,0.7,0.01,200,200,1,486
0.7,0.7,0.01,200,200,2,475
0.7,0.7,0.01,200,200,3,433
0.7,0.7,0.01,200,200,4,460
0.7,0.7,0.01,200,200,5,470
0.7,0.7,0.01,200,200,6,468
0.7,0.7,0.01,200,200,7,465
0.7,0.7,0.01,200,200,8,491
0.7,0.7,0.01,200,200,9,422
0.7,0.7,0.05,100,100,0,421
0.7,0.7,0.05,100,100,1,458
0.7,0.7,0.05,100,100,2,436
0.7,0.7,0.05,100,100,3,462
0.7,0.7,0.05,100,100,4,518
0.7,0.7,0.05,100,100,5,492
0.7,0.7,0.05,100,100,6,463
0.7,0.7,0.05,100,100,7,506
0.7,0.7,0.05,100,100,8,484
0.7,0.7,0.05,100,100,9,484
0.7,0.7,0.05,100,200,0,460
0.7,0.7,0.05,100,200,1,435
0.7,0.7,0.05,100,200,2,479
0.7,0.7,0.05,100,200,3,415
0.7,0.7,0.05,100,200,4,490
0.7,0.7,0.05,100,200,5,506
0.7,0.7,0.05,100,200,6,428
0.7,0.7,0.05,100,200,7,460
0.7,0.7,0.05,100,200,8,428
0.7,0.7,0.05,100,200,9,443
0.7,0.7,0.05,200,100,0,467
0.7,0.7,0.05,200,100,1,465
0.7,0.7,0.05,200,100,2,459
0.7,0.7,0.05,200,100,3,475
0.7,0.7,0.05,200,100,4,408
0.7,0.7,0.05,200,100,5,453
0.7,0.7,0.05,200,100,6,453
0.7,0.7,0.05,200,100,7,472
0.7,0.7,0.05,200,100,8,463
0.7,0.7,0.05,200,100,9,467
0.7,0.7,0.05,200,200,0,399
0.7,0.7,0.05,200,200,1,454
0.7,0.7,0.05,200,200,2,476
0.7,0.7,0.05,200,200,3,447
0.7,0.7,0.05,200,200,4,424
0.7,0.7,0.05,200,200,5,447
0.7,0.7,0.05,200,200,6,477
0.7,0.7,0.05,200,200,7,467
0.7,0.7,0.05,200,200,8,396
0.7,0.7,0.05,200,200,9,455
0.7,0.7,0.1,100,100,0,451
0.7,0.7,0.1,100,100,1,490
0.7,0.7,0.1,100,100,2,479
0.7,0.7,0.1,100,100,3,447
0.7,0.7,0.1,100,100,4,480
0.7,0.7,0.1,100,100,5,497
0.7,0.7,0.1,100,100,6,490
0.7,0.7,0.1,100,100,7,455
0.7,0.7,0.1,100,100,8,465
0.7,0.7,0.1,100,100,9,483
0.7,0.7,0.1,100,200,0,469
0.7,0.7,0.1,100,200,1,515
0.7,0.7,0.1,100,200,2,495
0.7,0.7,0.1,100,200,3,505
0.7,0.7,0.1,100,200,4,472
0.7,0.7,0.1,100,200,5,482
0.7,0.7,0.1,100,200,6,425
0.7,0.7,0.1,100,200,7,492
0.7,0.7,0.1,100,200,8,487
0.7,0.7,0.1,100,200,9,475
0.7,0.7,0.1,200,100,0,473
0.7,0.7,0.1,200,100,1,476
0.7,0.7,0.1,200,100,2,426
0.7,0.7,0.1,200,100,3,464
